hora_autorizacao,carrier_vtex,categoria produto,region,distancia,uf,dia da semana,cd_origem,City,categoria_distancia,dias_entrega2,prediction_label,prediction_dias_entrega,diff_day_auth_to_estimated2,baseline_otif,gap_baseline,OTIF_Previsto,gap_predict,dias_transportadora,prediction_dias_transportadora,gap_predict_transportadora
10.0,Mira,airfryer,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,19,20.74221972340721,21.0,32,1,13,1,2.0,19.0,21.0,2.0
16.0,Mira,lava-loucas,Norte,274201500000000.0,AM,3.0,jl,manaus,muitodistante,24,22.12820643908095,22.0,32,1,8,0,-2.0,23.0,21.0,-2.0
12.0,Mira,depurador,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,19,21.11174645120705,21.0,32,1,13,1,2.0,19.0,21.0,2.0
23.0,Bertolini,depurador,Norte,1417827000000000.0,TO,4.0,jl,talisma,longadistancia,18,16.239783049617724,16.0,31,1,13,0,-2.0,17.0,16.0,-1.0
11.0,Bertolini,aspirador,Norte,3.3815764e+16,RR,5.0,jl,boavista,muitodistante,22,23.075112077112237,23.0,40,1,18,1,1.0,22.0,22.0,0.0
12.0,Mira,bebedouro,Norte,274201500000000.0,AM,5.0,jl,manaus,muitodistante,17,20.920876208862374,21.0,31,1,14,1,4.0,17.0,21.0,4.0
18.0,Mira,panela,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,18,21.63094203038817,22.0,32,1,14,1,4.0,17.0,20.0,3.0
18.0,Mira,panela,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,18,21.63094203038817,22.0,32,1,14,1,4.0,17.0,20.0,3.0
2.0,Mira,aspirador,Norte,274201500000000.0,AM,5.0,jl,manaus,muitodistante,17,20.599661104361367,21.0,31,1,14,1,4.0,17.0,20.0,3.0
15.0,Mira,kit,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,23,21.47114960518857,21.0,32,1,9,0,-2.0,22.0,20.0,-2.0
18.0,Mira,lavadora,Norte,1.7093918e+16,TO,4.0,jl,paraisodotocantins,muitodistante,13,13.615629414404179,14.0,37,1,24,1,1.0,12.0,12.0,0.0
19.0,Mira,adega,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,18,21.980272084162248,22.0,32,1,14,1,4.0,17.0,20.0,3.0
9.0,Mira,forno,Norte,274201500000000.0,AM,5.0,jl,manaus,muitodistante,24,20.36905115557446,20.0,31,1,7,0,-4.0,24.0,20.0,-4.0
14.0,Bertolini,bebedouro,Norte,2.0973094e+16,PA,5.0,jl,ourilandiadonorte,muitodistante,17,16.10465035187475,16.0,39,1,22,0,-1.0,16.0,15.0,-1.0
17.0,Bertolini,bebedouro,Norte,2.2415997e+16,PA,5.0,jl,maraba,muitodistante,12,13.166419040880943,13.0,29,1,17,1,1.0,11.0,11.0,0.0
3.0,Bertolini,purificador,Norte,1536420300000000.0,TO,6.0,jl,gurupi,muitodistante,10,11.863840163452497,12.0,29,1,19,1,2.0,9.0,11.0,2.0
9.0,Bertolini,purificador,Norte,2689824200000000.0,PA,6.0,jl,ananindeua,muitodistante,11,11.568234856356904,12.0,29,1,18,1,1.0,10.0,11.0,1.0
20.0,Bertolini,coifa,Norte,2679220000000000.0,PA,6.0,jl,belem,muitodistante,11,12.096240358844256,12.0,29,1,18,1,1.0,10.0,12.0,2.0
9.0,Bertolini,lavadora,Norte,2.6635381e+16,PA,0.0,jl,portodemoz,muitodistante,14,14.094931133224282,14.0,42,1,28,1,0.0,14.0,14.0,0.0
17.0,Bertolini,depurador,Norte,251241160000000.0,PA,0.0,jl,tailandia,muitodistante,14,14.629076730734116,15.0,38,1,24,1,1.0,14.0,14.0,0.0
22.0,Bertolini,adega,Norte,2.2415997e+16,PA,0.0,jl,maraba,muitodistante,14,11.78661930022306,12.0,28,1,14,0,-2.0,14.0,11.0,-3.0
22.0,Mira,kit,Norte,274201500000000.0,AM,5.0,jl,manaus,muitodistante,17,21.430584037077033,21.0,31,1,14,1,4.0,15.0,19.0,4.0
16.0,Mira,panela,Norte,274201500000000.0,AM,6.0,jl,manaus,muitodistante,21,21.38109343478306,21.0,30,1,9,1,0.0,20.0,19.0,-1.0
21.0,Mira,bebedouro,Norte,274201500000000.0,AM,6.0,jl,manaus,muitodistante,21,21.199140849233565,21.0,30,1,9,1,0.0,20.0,19.0,-1.0
21.0,Mira,panela,Norte,274201500000000.0,AM,5.0,jl,manaus,muitodistante,17,21.421884754291188,21.0,31,1,14,1,4.0,15.0,19.0,4.0
23.0,Mira,aspirador,Norte,274201500000000.0,AM,6.0,jl,manaus,muitodistante,29,21.358313756564826,21.0,30,1,1,0,-8.0,28.0,19.0,-9.0
4.0,Bertolini,depurador,Norte,2502358500000000.0,PA,1.0,jl,altamira,muitodistante,19,19.09319524809665,19.0,40,1,21,1,0.0,19.0,18.0,-1.0
5.0,Bertolini,panela,Norte,1652951700000000.0,TO,1.0,jl,portonacional,muitodistante,14,11.644201963678023,12.0,29,1,15,0,-2.0,14.0,12.0,-2.0
13.0,Mira,airfryer,Norte,274201500000000.0,AM,1.0,jl,manaus,muitodistante,19,20.68988113726477,21.0,33,1,14,1,2.0,19.0,20.0,1.0
20.0,Mira,lavadora,Norte,274201500000000.0,AM,0.0,jl,manaus,muitodistante,20,20.85586667835881,21.0,30,1,10,1,1.0,19.0,20.0,1.0
20.0,Mira,panela,Norte,274201500000000.0,AM,0.0,jl,manaus,muitodistante,20,20.34334872784563,20.0,30,1,10,1,0.0,19.0,19.0,0.0
8.0,Mira,airfryer,Norte,274201500000000.0,AM,1.0,jl,manaus,muitodistante,19,20.457592674987296,20.0,33,1,14,1,1.0,19.0,20.0,1.0
17.0,Mira,airfryer,Norte,274201500000000.0,AM,0.0,jl,manaus,muitodistante,20,20.70759735404449,21.0,30,1,10,1,1.0,19.0,20.0,1.0
14.0,Mira,bebedouro,Norte,274201500000000.0,AM,0.0,jl,manaus,muitodistante,20,21.253592860929345,21.0,30,1,10,1,1.0,19.0,20.0,1.0
18.0,Mira,filtro/refil,Norte,274201500000000.0,AM,0.0,jl,manaus,muitodistante,20,20.57165878752678,21.0,30,1,10,1,1.0,19.0,19.0,0.0
10.0,Mira,adega,Norte,274201500000000.0,AM,1.0,jl,manaus,muitodistante,19,20.787285770050303,21.0,33,1,14,1,2.0,19.0,20.0,1.0
11.0,Mira,depurador,Norte,274201500000000.0,AM,1.0,jl,manaus,muitodistante,19,20.699768067871272,21.0,33,1,14,1,2.0,19.0,20.0,1.0
13.0,Mira,filtro/refil,Norte,274201500000000.0,AM,1.0,jl,manaus,muitodistante,19,20.753811719623847,21.0,33,1,14,1,2.0,19.0,20.0,1.0
13.0,Mira,geladeira,Norte,274201500000000.0,AM,1.0,jl,manaus,muitodistante,26,21.37817847898785,21.0,33,1,7,0,-5.0,26.0,20.0,-6.0
17.0,Bertolini,bebedouro,Norte,2.4696582e+16,PA,1.0,jl,itaituba,muitodistante,8,13.976151528179177,14.0,36,1,28,1,6.0,8.0,14.0,6.0
21.0,Bertolini,purificador,Norte,2679220000000000.0,PA,1.0,jl,belem,muitodistante,13,12.723743158265137,13.0,29,1,16,1,0.0,13.0,12.0,-1.0
11.0,Mira,lava-loucas,Norte,1.8596152e+16,TO,2.0,jl,guarai,muitodistante,12,16.59972860972391,17.0,34,1,22,1,5.0,12.0,15.0,3.0
12.0,Mira,geladeira,Norte,274201500000000.0,AM,2.0,jl,manaus,muitodistante,25,21.457508993334613,21.0,33,1,8,0,-4.0,25.0,20.0,-5.0
20.0,Bertolini,lava-loucas,Norte,3.3815764e+16,RR,2.0,jl,boavista,muitodistante,21,22.03596359065604,22.0,41,1,20,1,1.0,21.0,21.0,0.0
22.0,Bertolini,purificador,Norte,1.5023435e+16,AP,1.0,jl,santana,longadistancia,14,15.755357780527394,16.0,34,1,20,1,2.0,13.0,15.0,2.0
23.0,Bertolini,aspirador,Norte,2679220000000000.0,PA,1.0,jl,belem,muitodistante,13,13.272021165004102,13.0,29,1,16,1,0.0,12.0,12.0,0.0
11.0,Bertolini,aspirador,Norte,1.4036575e+16,TO,2.0,jl,araguacu,longadistancia,13,12.858624712253697,13.0,32,1,19,1,0.0,13.0,13.0,0.0
12.0,Bertolini,lavadora,Norte,4062809000000000.0,AC,2.0,jl,cruzeirodosul,mediadistancia,19,23.15553579015296,23.0,46,1,27,1,4.0,19.0,21.0,2.0
11.0,Mira,lava,Norte,274201500000000.0,AM,3.0,jl,manaus,muitodistante,25,21.684763336160422,22.0,33,1,8,0,-3.0,25.0,21.0,-4.0
22.0,Mira,purificador,Norte,274201500000000.0,AM,2.0,jl,manaus,muitodistante,18,21.57323610035352,22.0,33,1,15,1,4.0,17.0,20.0,3.0
9.0,Mira,lava-loucas,Norte,1.5285728e+16,TO,3.0,jl,formosodoaraguaia,longadistancia,14,12.200616291884561,12.0,26,1,12,0,-2.0,14.0,11.0,-3.0
0.0,Bertolini,purificador,Norte,2679220000000000.0,PA,3.0,jl,belem,muitodistante,12,12.858089102483302,13.0,32,1,20,1,1.0,12.0,12.0,0.0
7.0,Bertolini,coifa,Norte,2.4189735e+16,RO,3.0,jl,portovelho,muitodistante,12,12.482303524345275,12.0,33,1,21,1,0.0,12.0,12.0,0.0
11.0,Bertolini,depurador,Norte,2.5744337e+16,PA,3.0,jl,tome-acu,muitodistante,14,14.661553548856388,15.0,40,1,26,1,1.0,14.0,14.0,0.0
11.0,Bertolini,depurador,Norte,2293274400000000.0,PA,3.0,jl,novaipixuna,muitodistante,12,13.000759776805634,13.0,31,1,19,1,1.0,12.0,12.0,0.0
13.0,Bertolini,panela,Norte,2.4172662e+16,PA,3.0,jl,pacaja,muitodistante,19,15.45926019778155,15.0,40,1,21,0,-4.0,19.0,14.0,-5.0
14.0,Bertolini,aspirador,Norte,2679220000000000.0,PA,3.0,jl,belem,muitodistante,11,13.429525149858629,13.0,32,1,21,1,2.0,11.0,12.0,1.0
19.0,Bertolini,panela,Norte,2.7094857e+16,PA,3.0,jl,santabarbaradopara,muitodistante,12,13.544121749275595,14.0,35,1,23,1,2.0,12.0,12.0,0.0
23.0,Mira,airfryer,Norte,274201500000000.0,AM,3.0,jl,manaus,muitodistante,19,21.954214150740068,22.0,33,1,14,1,3.0,18.0,20.0,2.0
15.0,Mira,purificador,Norte,274201500000000.0,AM,3.0,jl,manaus,muitodistante,19,21.611296396677226,22.0,33,1,14,1,3.0,18.0,21.0,3.0
18.0,Mira,lavadora,Norte,274201500000000.0,AM,3.0,jl,manaus,muitodistante,19,21.90387978548167,22.0,33,1,14,1,3.0,18.0,20.0,2.0
3.0,Mira,lava-loucas,Norte,1536420300000000.0,TO,4.0,jl,gurupi,muitodistante,18,14.30511814689267,14.0,24,1,6,0,-4.0,18.0,13.0,-5.0
16.0,Bertolini,depurador,Norte,2679220000000000.0,PA,4.0,jl,belem,muitodistante,13,13.788175000260903,14.0,32,1,19,1,1.0,12.0,12.0,0.0
23.0,Bertolini,aspirador,Norte,2679220000000000.0,PA,4.0,jl,belem,muitodistante,13,14.165275780231681,14.0,32,1,19,1,1.0,12.0,13.0,1.0
23.0,Bertolini,bebedouro,Norte,2679220000000000.0,PA,4.0,jl,belem,muitodistante,13,14.39557563023585,14.0,32,1,19,1,1.0,12.0,13.0,1.0
10.0,Bertolini,purificador,Norte,2.5902508e+16,PA,5.0,jl,cameta,muitodistante,16,16.761511874358654,17.0,44,1,28,1,1.0,16.0,16.0,0.0
10.0,Bertolini,depurador,Norte,2679220000000000.0,PA,5.0,jl,belem,muitodistante,12,13.327127708821681,13.0,31,1,19,1,1.0,12.0,12.0,0.0
12.0,Bertolini,aspirador,Norte,2679220000000000.0,PA,5.0,jl,belem,muitodistante,12,13.327127708821681,13.0,31,1,19,1,1.0,12.0,12.0,0.0
8.0,Bertolini,purificador,Norte,2502358500000000.0,PA,4.0,jl,altamira,muitodistante,17,19.5906971194216,20.0,40,1,23,1,3.0,16.0,19.0,3.0
15.0,Bertolini,purificador,Norte,2679220000000000.0,PA,5.0,jl,belem,muitodistante,12,13.337745814823151,13.0,31,1,19,1,1.0,10.0,11.0,1.0
16.0,Bertolini,purificador,Norte,2679220000000000.0,PA,5.0,jl,belem,muitodistante,12,13.369446570774883,13.0,31,1,19,1,1.0,10.0,11.0,1.0
10.0,Bertolini,conjunto,Norte,2043675800000000.0,TO,6.0,jl,araguaina,muitodistante,14,11.47082829100529,11.0,30,1,16,0,-3.0,13.0,11.0,-2.0
11.0,Bertolini,aspirador,Norte,1536420300000000.0,TO,6.0,jl,gurupi,muitodistante,10,11.934668160198378,12.0,30,1,20,1,2.0,9.0,11.0,2.0
12.0,Bertolini,purificador,Norte,2679220000000000.0,PA,6.0,jl,belem,muitodistante,11,11.7338816556485,12.0,30,1,19,1,1.0,10.0,11.0,1.0
14.0,Bertolini,depurador,Norte,2118299100000000.0,PA,6.0,jl,canaadoscarajas,muitodistante,15,13.821876876056256,14.0,30,1,15,0,-1.0,14.0,13.0,-1.0
17.0,Bertolini,coifa,Norte,2679220000000000.0,PA,6.0,jl,belem,muitodistante,11,12.461769343781283,12.0,30,1,19,1,1.0,10.0,12.0,2.0
17.0,Bertolini,aspirador,Norte,2679220000000000.0,PA,6.0,jl,belem,muitodistante,11,12.507602450285237,13.0,30,1,19,1,2.0,10.0,12.0,2.0
21.0,Bertolini,lavadora,Norte,2043675800000000.0,TO,6.0,jl,araguaina,muitodistante,12,11.676727600005773,12.0,30,1,18,1,0.0,11.0,10.0,-1.0
3.0,Bertolini,adega,Norte,2101152600000000.0,RO,0.0,jl,ji-parana,muitodistante,13,11.08160625139189,11.0,31,1,18,0,-2.0,13.0,11.0,-2.0
19.0,Bertolini,purificador,Norte,2679220000000000.0,PA,4.0,jl,belem,muitodistante,13,13.56980382605137,14.0,32,1,19,1,1.0,10.0,11.0,1.0
19.0,Bertolini,panela,Norte,2631861200000000.0,PA,4.0,jl,santarem,muitodistante,13,15.860337452517108,16.0,37,1,24,1,3.0,10.0,14.0,4.0
8.0,Bertolini,lavadora,Norte,1.4529223e+16,TO,0.0,jl,alvorada,longadistancia,9,13.709616388503228,14.0,30,1,21,1,5.0,9.0,13.0,4.0
8.0,Bertolini,bebedouro,Norte,2.4696582e+16,PA,0.0,jl,itaituba,muitodistante,13,13.168095810840676,13.0,36,1,23,1,0.0,13.0,13.0,0.0
12.0,Bertolini,bebedouro,Norte,2679220000000000.0,PA,0.0,jl,belem,muitodistante,10,11.665182798634113,12.0,30,1,20,1,2.0,10.0,11.0,1.0
13.0,Bertolini,aspirador,Norte,1.4923167e+16,TO,0.0,jl,taguatinga,longadistancia,9,13.14488475672136,13.0,30,1,21,1,4.0,9.0,13.0,4.0
21.0,Mira,aspirador,Norte,274201500000000.0,AM,5.0,jl,manaus,muitodistante,23,21.695924992846223,22.0,32,1,9,0,-1.0,21.0,19.0,-2.0
13.0,Mira,coifa,Norte,274201500000000.0,AM,6.0,jl,manaus,muitodistante,28,21.30136203070996,21.0,31,1,3,0,-7.0,27.0,20.0,-7.0
21.0,Mira,forno,Norte,274201500000000.0,AM,5.0,jl,manaus,muitodistante,29,21.13866327207722,21.0,32,1,3,0,-8.0,27.0,19.0,-8.0
13.0,Mira,depurador,Norte,274201500000000.0,AM,6.0,jl,manaus,muitodistante,22,21.091441678848113,21.0,31,1,9,0,-1.0,21.0,19.0,-2.0
17.0,Mira,lava,Norte,274201500000000.0,AM,6.0,jl,manaus,muitodistante,28,22.38611007608115,22.0,31,1,3,0,-6.0,27.0,20.0,-7.0
17.0,Mira,lava-loucas,Norte,1536420300000000.0,TO,6.0,jl,gurupi,muitodistante,22,14.041912631996297,14.0,22,1,0,0,-8.0,21.0,12.0,-9.0
17.0,Mira,forno,Norte,274201500000000.0,AM,6.0,jl,manaus,muitodistante,22,21.133146382033,21.0,31,1,9,0,-1.0,21.0,20.0,-1.0
20.0,Mira,conjunto,Norte,2.6903898e+16,PA,6.0,jl,marituba,muitodistante,11,12.103928281826096,12.0,21,1,10,1,1.0,10.0,11.0,1.0
19.0,Mira,freezer,Norte,3011633200000000.0,AP,4.0,jl,tartarugalzinho,muitodistante,25,23.939834485479736,24.0,34,1,9,0,-1.0,22.0,21.0,-1.0
9.0,Mira,maquina,Norte,274201500000000.0,AM,0.0,jl,manaus,muitodistante,21,20.728438133320807,21.0,31,1,10,1,0.0,21.0,20.0,-1.0
12.0,Mira,lava-loucas,Norte,2679220000000000.0,PA,0.0,jl,belem,muitodistante,9,11.661190645871272,12.0,20,1,11,1,3.0,9.0,11.0,2.0
19.0,Bertolini,airfryer,Norte,274201500000000.0,AM,1.0,jl,manaus,muitodistante,15,18.86123091157682,19.0,40,1,25,1,4.0,15.0,18.0,3.0
15.0,Bertolini,aspirador,Norte,2.0516683e+16,PA,1.0,jl,xinguara,muitodistante,12,14.503427051428652,15.0,41,1,29,1,3.0,12.0,13.0,1.0
15.0,Bertolini,cooktop,Norte,2248087200000000.0,RO,1.0,jl,montenegro,muitodistante,15,14.241488227437884,14.0,34,1,19,0,-1.0,15.0,14.0,-1.0
16.0,Bertolini,purificador,Norte,2043675800000000.0,TO,1.0,jl,araguaina,muitodistante,10,11.148952161290264,11.0,30,1,20,1,1.0,10.0,11.0,1.0
18.0,Bertolini,purificador,Norte,274201500000000.0,AM,1.0,jl,manaus,muitodistante,15,19.16035676897025,19.0,40,1,25,1,4.0,15.0,18.0,3.0
18.0,Bertolini,purificador,Norte,2689824200000000.0,PA,1.0,jl,ananindeua,muitodistante,9,12.307101819834996,12.0,30,1,21,1,3.0,9.0,11.0,2.0
20.0,Bertolini,kit,Norte,2679220000000000.0,PA,1.0,jl,belem,muitodistante,9,12.425357974533238,12.0,30,1,21,1,3.0,9.0,12.0,3.0
22.0,Bertolini,depurador,Norte,2.2415997e+16,PA,1.0,jl,maraba,muitodistante,13,12.085259228082109,12.0,29,1,16,0,-1.0,13.0,11.0,-2.0
4.0,Bertolini,aspirador,Norte,1949039100000000.0,PA,1.0,jl,redencao,muitodistante,13,12.18632795137174,12.0,41,1,28,0,-1.0,13.0,12.0,-1.0
7.0,Bertolini,adega,Norte,2204180800000000.0,PA,1.0,jl,palestinadopara,muitodistante,14,13.689713722034675,14.0,30,1,16,1,0.0,14.0,14.0,0.0
21.0,Bertolini,aspirador,Norte,2679220000000000.0,PA,0.0,jl,belem,muitodistante,10,12.388420005747182,12.0,30,1,20,1,2.0,9.0,12.0,3.0
10.0,Bertolini,purificador,Norte,3.277359e+16,AP,1.0,jl,oiapoque,muitodistante,22,22.551575551659784,23.0,48,1,26,1,1.0,22.0,22.0,0.0
11.0,Bertolini,purificador,Norte,3.277359e+16,AP,1.0,jl,oiapoque,muitodistante,22,22.551575551659784,23.0,48,1,26,1,1.0,22.0,22.0,0.0
10.0,Bertolini,purificador,Norte,1518475100000000.0,TO,1.0,jl,cariridotocantins,longadistancia,13,11.570154193503885,12.0,30,1,17,0,-1.0,13.0,11.0,-2.0
11.0,Bertolini,aspirador,Norte,2679220000000000.0,PA,1.0,jl,belem,muitodistante,9,12.158435122404871,12.0,30,1,21,1,3.0,9.0,12.0,3.0
13.0,Bertolini,aspirador,Norte,2679220000000000.0,PA,1.0,jl,belem,muitodistante,9,12.255139809614437,12.0,30,1,21,1,3.0,9.0,11.0,2.0
14.0,Bertolini,purificador,Norte,2679220000000000.0,PA,1.0,jl,belem,muitodistante,14,12.68064898897427,13.0,30,1,16,0,-1.0,14.0,12.0,-2.0
14.0,Bertolini,lava-loucas,Norte,2.849437e+16,AP,1.0,jl,macapa,muitodistante,15,17.800477953285835,18.0,34,1,19,1,3.0,15.0,17.0,2.0
4.0,Mira,aspirador,Norte,274201500000000.0,AM,1.0,jl,manaus,muitodistante,20,20.718711506051232,21.0,33,1,13,1,1.0,20.0,20.0,0.0
8.0,Mira,adega,Norte,274201500000000.0,AM,0.0,jl,manaus,muitodistante,21,20.270219506778663,20.0,31,1,10,0,-1.0,20.0,20.0,0.0
16.0,Mira,lava-loucas,Norte,2.849437e+16,AP,0.0,jl,macapa,muitodistante,17,17.74824963619261,18.0,27,1,10,1,1.0,16.0,17.0,1.0
18.0,Mira,purificador,Norte,274201500000000.0,AM,0.0,jl,manaus,muitodistante,21,20.79785854280514,21.0,31,1,10,1,0.0,20.0,20.0,0.0
20.0,Mira,lava-loucas,Norte,1536420300000000.0,TO,0.0,jl,gurupi,muitodistante,17,12.921607512245767,13.0,22,1,5,0,-4.0,16.0,12.0,-4.0
9.0,Bertolini,purificador,Norte,2.514724e+16,PA,2.0,jl,paragominas,muitodistante,12,11.769275651739303,12.0,41,1,29,1,0.0,12.0,12.0,0.0
10.0,Bertolini,bebedouro,Norte,2.1201692e+16,PA,2.0,jl,saofelixdoxingu,muitodistante,20,17.37011271608631,17.0,41,1,21,0,-3.0,20.0,16.0,-4.0
14.0,Bertolini,aspirador,Norte,2.4189735e+16,RO,2.0,jl,portovelho,muitodistante,14,12.593701058009305,13.0,33,1,19,0,-1.0,14.0,12.0,-2.0
14.0,Mira,lava-loucas,Norte,274201500000000.0,AM,1.0,jl,manaus,muitodistante,26,21.546131353343213,22.0,29,1,3,0,-4.0,25.0,20.0,-5.0
17.0,Mira,lava-loucas,Norte,274201500000000.0,AM,1.0,jl,manaus,muitodistante,22,21.547173966909682,22.0,29,1,7,1,0.0,21.0,20.0,-1.0
8.0,Mira,adega,Norte,274201500000000.0,AM,2.0,jl,manaus,muitodistante,26,20.899245274197504,21.0,33,1,7,0,-5.0,26.0,20.0,-6.0
11.0,Mira,lava-loucas,Norte,2679220000000000.0,PA,2.0,jl,belem,muitodistante,12,12.252961101370971,12.0,18,1,6,1,0.0,12.0,11.0,-1.0
12.0,Mira,kit,Norte,2679220000000000.0,PA,2.0,jl,belem,muitodistante,12,13.280650903240916,13.0,18,1,6,1,1.0,12.0,11.0,-1.0
23.0,Bertolini,aspirador,Norte,2849373600000000.0,TO,2.0,jl,palmas,curtadistancia,13,11.047301976975355,11.0,28,1,15,0,-2.0,12.0,10.0,-2.0
23.0,Bertolini,aspirador,Norte,2849373600000000.0,TO,2.0,jl,palmas,curtadistancia,13,11.047301976975355,11.0,28,1,15,0,-2.0,12.0,10.0,-2.0
23.0,Bertolini,panela,Norte,2.4189735e+16,RO,2.0,jl,portovelho,muitodistante,14,13.868396955853434,14.0,33,1,19,1,0.0,13.0,13.0,0.0
21.0,Bertolini,aspirador,Norte,1984052800000000.0,RO,2.0,jl,espigaod'oeste,muitodistante,13,15.881824964360902,16.0,34,1,21,1,3.0,12.0,14.0,2.0
22.0,Bertolini,bebedouro,Norte,2502358500000000.0,PA,2.0,jl,altamira,muitodistante,18,19.141069371787168,19.0,41,1,23,1,1.0,17.0,18.0,1.0
13.0,Bertolini,purificador,Norte,2732222000000000.0,PA,3.0,jl,tracuateua,muitodistante,17,16.343894114840417,16.0,38,1,21,0,-1.0,17.0,16.0,-1.0
13.0,Bertolini,adega,Norte,2.4189735e+16,RO,3.0,jl,portovelho,muitodistante,13,12.73452914170323,13.0,33,1,20,1,0.0,13.0,12.0,-1.0
16.0,Mira,adega,Norte,274201500000000.0,AM,2.0,jl,manaus,muitodistante,26,21.774768451058705,22.0,29,1,3,0,-4.0,25.0,20.0,-5.0
8.0,Mira,lava,Norte,2679220000000000.0,PA,3.0,jl,belem,muitodistante,13,12.921518919932662,13.0,18,1,5,1,0.0,13.0,11.0,-2.0
9.0,Mira,lava-loucas,Norte,2689824200000000.0,PA,3.0,jl,ananindeua,muitodistante,13,12.357483468840464,12.0,19,1,6,0,-1.0,13.0,11.0,-2.0
14.0,Mira,maquina,Norte,274201500000000.0,AM,3.0,jl,manaus,muitodistante,25,22.487942970905266,22.0,31,1,6,0,-3.0,24.0,22.0,-2.0
0.0,Mira,maquina,Norte,2679220000000000.0,PA,4.0,jl,belem,muitodistante,11,12.776582108272503,13.0,18,1,7,1,2.0,11.0,12.0,1.0
9.0,Mira,lava,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,19,21.64926569923761,22.0,31,1,12,1,3.0,19.0,21.0,2.0
14.0,Mira,freezer,Norte,2689824200000000.0,PA,4.0,jl,ananindeua,muitodistante,16,12.936324967495992,13.0,19,1,3,0,-3.0,16.0,11.0,-5.0
23.0,Bertolini,cooktop,Norte,1949039100000000.0,PA,3.0,jl,redencao,muitodistante,19,14.198112573035042,14.0,41,1,22,0,-5.0,17.0,13.0,-4.0
1.0,Bertolini,aspirador,Norte,2.4696582e+16,PA,4.0,jl,itaituba,muitodistante,18,15.029985942175829,15.0,39,1,21,0,-3.0,17.0,14.0,-3.0
16.0,Bertolini,purificador,Norte,2.1201692e+16,PA,3.0,jl,saofelixdoxingu,muitodistante,19,17.406229106583474,17.0,41,1,22,0,-2.0,17.0,16.0,-1.0
11.0,Bertolini,panela,Norte,2.0973094e+16,PA,4.0,jl,ourilandiadonorte,muitodistante,16,15.476699485577864,15.0,41,1,25,0,-1.0,15.0,15.0,0.0
15.0,Mira,lava-loucas,Norte,274201500000000.0,AM,4.0,jl,manaus,muitodistante,24,21.83936722848432,22.0,31,1,7,0,-2.0,23.0,21.0,-2.0
15.0,Azul,panela,Norte,2101152600000000.0,RO,4.0,jl,ji-parana,muitodistante,12,8.200822522190848,8.0,17,1,5,0,-4.0,9.0,7.0,-2.0
14.0,Mira,lava,Norte,2679220000000000.0,PA,6.0,jl,belem,muitodistante,10,12.127872731040423,12.0,16,1,6,1,2.0,9.0,11.0,2.0
20.0,Mira,lava-loucas,Norte,274201500000000.0,AM,6.0,jl,manaus,muitodistante,22,21.391478678038574,21.0,29,1,7,0,-1.0,21.0,20.0,-1.0
20.0,Mira,lava,Norte,2679220000000000.0,PA,6.0,jl,belem,muitodistante,10,11.910256484088332,12.0,16,1,6,1,2.0,9.0,11.0,2.0
9.0,Mira,freezer,Norte,1.7792153e+16,TO,0.0,jl,miracemadotocantins,muitodistante,10,13.43254986980797,13.0,29,1,19,1,3.0,10.0,13.0,3.0
17.0,Bertolini,adega,Norte,2679220000000000.0,PA,4.0,jl,belem,muitodistante,14,13.788175000260903,14.0,32,1,18,1,0.0,11.0,12.0,1.0
17.0,Bertolini,lava-loucas,Norte,2849373600000000.0,TO,4.0,jl,palmas,curtadistancia,11,11.51601157648063,12.0,31,1,20,1,1.0,8.0,10.0,2.0
18.0,Bertolini,purificador,Norte,1652951700000000.0,TO,4.0,jl,portonacional,muitodistante,13,12.338404755960537,12.0,32,1,19,0,-1.0,10.0,10.0,0.0
19.0,Bertolini,purificador,Norte,2679220000000000.0,PA,4.0,jl,belem,muitodistante,16,13.56980382605137,14.0,32,1,16,0,-2.0,13.0,11.0,-2.0
19.0,Bertolini,purificador,Norte,2.514724e+16,PA,4.0,jl,paragominas,muitodistante,10,12.879386393268135,13.0,41,1,31,1,3.0,7.0,11.0,4.0
4.0,Bertolini,purificador,Norte,2679220000000000.0,PA,5.0,jl,belem,muitodistante,15,13.138673053353841,13.0,31,1,16,0,-2.0,13.0,12.0,-1.0
5.0,Bertolini,depurador,Norte,2631861200000000.0,PA,5.0,jl,santarem,muitodistante,22,15.23959482872674,15.0,37,1,15,0,-7.0,20.0,14.0,-6.0
10.0,Bertolini,depurador,Norte,2679220000000000.0,PA,5.0,jl,belem,muitodistante,16,13.327127708821681,13.0,31,1,15,0,-3.0,14.0,12.0,-2.0
13.0,Bertolini,lava-loucas,Norte,2689824200000000.0,PA,5.0,jl,ananindeua,muitodistante,13,13.13027062625629,13.0,31,1,18,1,0.0,11.0,11.0,0.0
13.0,Bertolini,purificador,Norte,2043675800000000.0,TO,5.0,jl,araguaina,muitodistante,10,11.954145869424522,12.0,31,1,21,1,2.0,8.0,10.0,2.0
