hora_autorizacao,carrier_vtex,categoria produto,region,distancia,uf,dia da semana,cd_origem,City,categoria_distancia,dias_entrega2,prediction_label,prediction_dias_entrega,diff_day_auth_to_estimated2,baseline_otif,gap_baseline,OTIF_Previsto,gap_predict,dias_transportadora,prediction_dias_transportadora,gap_predict_transportadora
14.0,TSV,lava,Norte,2.2028735e+16,RO,2.0,tatuquara,jaru,muitodistante,13,17.030555699187495,17.0,25,1,12,1,4.0,13.0,17.0,4.0
19.0,TSV,aspirador,Norte,2761129800000000.0,TO,2.0,tatuquara,palmas,curtadistancia,8,10.025436299594963,10.0,14,1,6,1,2.0,8.0,10.0,2.0
20.0,TSV,depurador,Norte,1.7424871e+16,TO,2.0,tatuquara,paraisodotocantins,muitodistante,12,11.95340220927849,12.0,25,1,13,1,0.0,12.0,11.0,-1.0
20.0,Rodonaves,purificador,Norte,4691679000000000.0,TO,2.0,tatuquara,pirassununga,mediadistancia,1,9.183774295554457,9.0,7,1,6,1,8.0,1.0,9.0,8.0
14.0,Azul,purificador,Norte,2274742000000000.0,PA,2.0,tatuquara,maraba,muitodistante,7,6.583132566110195,7.0,14,1,7,1,0.0,6.0,6.0,0.0
14.0,Azul,depurador,Norte,2.7122942e+16,PA,2.0,tatuquara,belem,muitodistante,4,5.55608020952229,6.0,12,1,8,1,2.0,3.0,5.0,2.0
20.0,Azul,panela,Norte,2.501819e+16,PA,2.0,tatuquara,itaituba,muitodistante,5,5.6358833902217835,6.0,15,1,10,1,1.0,4.0,5.0,1.0
21.0,Azul,purificador,Norte,2444924600000000.0,RO,2.0,tatuquara,portovelho,muitodistante,4,7.0298080283400735,7.0,13,1,9,1,3.0,3.0,6.0,3.0
21.0,Azul,purificador,Norte,2.7122942e+16,PA,2.0,tatuquara,belem,muitodistante,4,5.761600823411449,6.0,12,1,8,1,2.0,3.0,5.0,2.0
7.0,Azul,panela,Norte,2.6645563e+16,PA,3.0,tatuquara,santarem,muitodistante,3,5.233107872142948,5.0,13,1,10,1,2.0,3.0,5.0,2.0
10.0,Azul,aspirador,Norte,2772596800000000.0,AM,3.0,tatuquara,manaus,muitodistante,3,5.478745011294897,5.0,10,1,7,1,2.0,3.0,5.0,2.0
